Sample,Learner,Estimate,SE,CI_Lower,CI_Upper,Kappa_Star,N
Experimental,OLS,1598.3553395546903,667.7434991279831,289.5780812638434,2907.132597845537,0.9875011013395432,445
Experimental,Lasso,1700.4045810378436,673.4088729948713,380.52318996789586,3020.285972107791,0.9943023991938089,445
Experimental,RF_Tuned,1562.1064345270686,653.6004711222214,281.04951112751473,2843.1633579266227,0.9976700773242662,445
Experimental,MLP,1019.0815747868179,847.3816849493945,-641.7865277139953,2679.949677287631,0.9482395401926895,445
Observational,OLS,699.9042402653998,785.3548526128357,-839.3912708557581,2239.1997513865576,1.4070606200074631,2675
Observational,Lasso,189.782393413273,633.9773845258111,-1052.8132802573168,1432.3780670838628,1.011795145795297,2675
Observational,RF_Tuned,-1018.2658505217792,996.6177190597573,-2971.6365798789034,935.1048788353451,2.57123413281508,2675
Observational,MLP,-775.9423445091828,938.7731054959895,-2615.9376312813224,1064.0529422629565,2.5281543487656815,2675
