learner,target_overlap,n,coverage,mc_bias,mc_se,median_kappa_star,avg_rmse_m,avg_rmse_l,n_reps,bias_to_se_ratio,Q
Lasso,0.6,1000,0.8,0.1320779965035075,0.047762966585728775,1.0610304267288888,0.19180812679506243,1.2389535227001969,5,2.7652804242475892,0.5172361228162599
Lasso,0.6,2000,0.2,0.20024609609099953,0.07569500239440587,1.0611246658347435,0.1884926137889174,1.1779047141267192,5,2.645433512870837,0.4999984501408983
Lasso,0.6,5000,0.0,0.19010321397348284,0.02303144932089224,1.0746000614890567,0.1885728310457993,1.2138837989397184,5,8.254070828318946,0.5141324068856507
Lasso,0.7,1000,0.6,0.1402648939927562,0.10019586868591242,1.0506732820451092,0.19098184032178234,1.1966545524479342,5,1.399906960559917,0.5022825890684485
Lasso,0.7,2000,0.2,0.15871252720190565,0.06226078405283433,1.0623599620056388,0.1863878561367643,1.2336779310793866,5,2.549157220172856,0.50942634313132
Lasso,0.7,5000,0.0,0.21903233395447086,0.030022840009936026,1.061572024759785,0.1849513566548775,1.2122212517954063,5,7.295523470863594,0.502654034338934
Lasso,0.8,1000,0.4,0.2679048180632919,0.13930345572487315,1.0375193885769913,0.18873213568464456,1.2331186536401648,5,1.9231742433756187,0.5005201686603354
Lasso,0.8,2000,0.0,0.19616054061711008,0.02906027530201152,1.0545050777422056,0.1820917354001867,1.2492111800791563,5,6.750126713477214,0.502934842627286
Lasso,0.8,5000,0.0,0.2281494288343311,0.039237666233491605,1.0617649931988595,0.18084903193863408,1.2021254886504973,5,5.814551443418733,0.4950640602577113
Lasso,0.9,1000,0.2,0.27004436782717245,0.12209445722938153,1.032379776975254,0.1809523776804836,1.2473849359392692,5,2.211765988031989,0.4904806551025975
Lasso,0.9,2000,0.2,0.18444286684708167,0.06674310609959207,1.0433025785338166,0.1790452539353721,1.223878223943091,5,2.7634744264353164,0.48838328445138784
Lasso,0.9,5000,0.0,0.22632578269633719,0.020436373354804954,1.0492369647394562,0.17365821552003877,1.217887030161746,5,11.07465491880554,0.48253048060704556
Lasso,0.95,1000,0.6,0.1740376661231342,0.08510709037816042,1.0467242507028514,0.17052108091063314,1.244394711844254,5,2.0449255796411827,0.4821702413209509
Lasso,0.95,2000,0.2,0.18469109540001338,0.058664486447844014,1.0347581985723993,0.1687406785427396,1.2015771965619135,5,3.14826066983837,0.46593422284524144
Lasso,0.95,5000,0.0,0.20597991599226528,0.05944087624034988,1.0388613436355105,0.16610070619164058,1.2227199422961894,5,3.4652907060014235,0.4681734955029488
Lasso,0.99,1000,0.4,0.16144238355953622,0.10227675738098464,1.0313126439090832,0.16393177431529177,1.2064739837424294,5,1.5784855493429213,0.4586494664447371
Lasso,0.99,2000,0.4,0.15021499590311116,0.038033835137171956,1.0260864235258111,0.16132944828420157,1.1821426125530208,5,3.949509571184426,0.4481007821349593
Lasso,0.99,5000,0.0,0.17541710196523042,0.024359201391168456,1.0341795296815903,0.1594422001515477,1.2150351317497439,5,7.201266541883788,0.4551892470752134
OLS,0.6,1000,0.8,0.09321538501138638,0.11100893372361986,1.0475396213337873,0.19775518840073475,1.2284097940335643,5,0.8397106600759334,0.5163046505316776
OLS,0.6,2000,0.0,0.2088694789281278,0.05072325331399826,1.0703316053724032,0.1935022267286017,1.2097124815414215,5,4.117824967478681,0.5178481320712156
OLS,0.6,5000,0.0,0.18073927172056048,0.05427838794899073,1.066782607666985,0.18871052350682366,1.1971712261302043,5,3.3298570305811968,0.507051557755579
OLS,0.7,1000,0.4,0.21883166179950808,0.06555907833728122,1.0459301205647025,0.19457153341955385,1.274614280100613,5,3.3379307237006404,0.5208728377435425
OLS,0.7,2000,0.0,0.2326325617828786,0.08028132462683024,1.0693744172439184,0.1885475498933531,1.242851072216933,5,2.897717032749758,0.5176661678362245
OLS,0.7,5000,0.0,0.217181440357594,0.03637236749275301,1.0572612388234939,0.18420457556501896,1.199376291894757,5,5.971055923177566,0.49694719917264135
OLS,0.8,1000,0.4,0.20459894115939714,0.055908295002492184,1.0335247327971888,0.19057461783343832,1.291644842970754,5,3.659545352800991,0.5127727762871301
OLS,0.8,2000,0.0,0.1878642266007724,0.03066788011820603,1.0437968379862548,0.18099753747193859,1.1970611479076383,5,6.125764998319742,0.4858592525706944
OLS,0.8,5000,0.0,0.20018172569417225,0.024305403533853177,1.054428275268895,0.1799562189552731,1.2435568804827948,5,8.23609965641402,0.49880787407690086
OLS,0.9,1000,0.4,0.2057844347202309,0.13115102206198415,1.057889774781427,0.17856463667618458,1.2296467997861775,5,1.5690646667089927,0.49571075162665923
OLS,0.9,2000,0.4,0.1873170641912849,0.10576943895978884,1.036829395727402,0.17674264418667632,1.2446862850060658,5,1.7709942118772006,0.48630409622509735
OLS,0.9,5000,0.0,0.17732517546559956,0.05373438461752828,1.0486750974701762,0.17417648726962684,1.2328957021017233,5,3.3000317529970498,0.4859581702836222
OLS,0.95,1000,0.6,0.13775474439274182,0.08730928387125403,1.0358300318383622,0.1737405453433272,1.1983483320862387,5,1.5777788831239814,0.4726401662824694
OLS,0.95,2000,0.2,0.18529946525792118,0.04803760716352481,1.0288183733133665,0.16867971210167418,1.2075398961088861,5,3.857383333585774,0.46432373189021003
OLS,0.95,5000,0.0,0.23238349851174078,0.059120861467134085,1.0464920462992144,0.16721847875658913,1.214595323245411,5,3.9306514273464237,0.47162179650677694
OLS,0.99,1000,0.8,0.13273113255969515,0.12589371178932826,1.0329301837081655,0.16416038322735144,1.2123909890885265,5,1.0543110586953597,0.46081488277874294
OLS,0.99,2000,0.2,0.1734149409076673,0.03869119052825567,1.0315035726833581,0.15958190461642,1.2083536069415923,5,4.482026490785406,0.4529597162455995
OLS,0.99,5000,0.0,0.1813130937179197,0.05679640103466375,1.0377113701498815,0.15956521014290845,1.212961217526883,5,3.192334204543373,0.4565298060796486
Oracle,0.6,1000,1.0,0.04754817589120619,0.07571082967451445,1.3043196131624133,0.0,0.0,5,0.628023442559258,0.0
Oracle,0.6,2000,1.0,-0.003577137937951891,0.04895684927605577,1.2930642593244592,0.0,0.0,5,0.07306715997553845,0.0
Oracle,0.6,5000,1.0,0.005245465770084667,0.03384781482634836,1.3123976785541127,0.0,0.0,5,0.15497206531635263,0.0
Oracle,0.7,1000,1.0,0.009469943225601796,0.06942933247645304,1.2780517448227036,0.0,0.0,5,0.136396864089303,0.0
Oracle,0.7,2000,1.0,-0.022530614584289288,0.05590282946347199,1.3016790211533003,0.0,0.0,5,0.4030317391897173,0.0
Oracle,0.7,5000,1.0,0.005953966420541246,0.043305769808396656,1.2951335579228298,0.0,0.0,5,0.13748667780030588,0.0
Oracle,0.8,1000,1.0,0.009915010891273779,0.05099152899859228,1.2772839158052882,0.0,0.0,5,0.19444427507846454,0.0
Oracle,0.8,2000,1.0,0.0053063450009351865,0.04608894314549636,1.2295371371994865,0.0,0.0,5,0.11513271163940116,0.0
Oracle,0.8,5000,1.0,-0.0015007160420861254,0.02999086233857054,1.2516578018592324,0.0,0.0,5,0.05003910941754049,0.0
Oracle,0.9,1000,1.0,-0.006987224526236013,0.08370738288329928,1.2198415933691058,0.0,0.0,5,0.08347202224655928,0.0
