n,overlap,rho,mean_theta,bias,rmse,coverage,mean_kappa,median_kappa,q90_kappa,mean_se,n_reps
500,high,0.0,1.014646853679189,0.014646853679189,0.044639652667288,0.92,0.7156501008334812,0.7103094365762718,0.7801456332199814,0.0409485781489295,500
500,low,0.0,1.0169939746446937,0.0169939746446936,0.0712743522318206,0.95,2.348838261118303,2.340173418522621,2.5354480026027617,0.0749317734279837,500
500,moderate,0.0,1.0247039936369693,0.0247039936369692,0.0632016936102038,0.942,1.585399100123318,1.5842179151682974,1.7010912743464637,0.0612734892745337,500
500,high,0.5,0.9926091351858132,-0.0073908648141869,0.0435604577601937,0.944,0.7436140000234562,0.7402536547006462,0.8053140005257037,0.0423924634763582,500
500,low,0.5,0.93909081287484,-0.0609091871251601,0.098646315072485,0.86,2.5743645518613487,2.568672452908394,2.834559694123277,0.0799682186460994,500
500,moderate,0.5,0.9631119813369792,-0.0368880186630209,0.074554647490393,0.912,1.6886939542338286,1.6898425660533931,1.822992287861692,0.0643572480213349,500
500,high,0.9,0.9748402574938162,-0.0251597425061838,0.055485742411054,0.888,0.8455528732606745,0.8418283337256278,0.9168003100425178,0.0451972263160176,500
500,low,0.9,0.7517295297110315,-0.2482704702889685,0.2693249635707414,0.386,4.81900553883673,4.792990519172921,5.55031778075268,0.1094828291006528,500
500,moderate,0.9,0.8907858835855973,-0.1092141164144027,0.1335406171216046,0.716,2.4106780389852696,2.4089945146386125,2.6437439842702606,0.078131726858024,500
2000,high,0.0,1.0120499998929864,0.0120499998929863,0.0216934816463556,0.93,0.7582332935644815,0.7569287478251401,0.7884803570120872,0.0205390195378826,500
2000,low,0.0,1.011514015026749,0.0115140150267489,0.0358675047553012,0.968,2.598253248876256,2.595410173193482,2.7011721200505203,0.0384618372101164,500
2000,moderate,0.0,1.0142521421279211,0.0142521421279211,0.0325272798076939,0.94,1.7158594904777598,1.7151727333696158,1.779245842387172,0.0310411715175363,500
2000,high,0.5,0.9905179806114331,-0.0094820193885668,0.0243923066287465,0.906,0.782757552756128,0.7816818830559967,0.8147329347379976,0.021264303600312,500
2000,low,0.5,0.905453706694355,-0.094546293305645,0.1057000826473377,0.39,2.8385103655248227,2.834965238804696,2.982967054936308,0.0410972406215357,500
2000,moderate,0.5,0.950956049367056,-0.0490439506329439,0.0611509207048079,0.68,1.816554383729991,1.8147033778116897,1.8969327932896485,0.0328049555979064,500
2000,high,0.9,0.9867372200540216,-0.0132627799459784,0.026272786780564,0.908,0.8935826513620623,0.8930362999558664,0.9294361844440788,0.0222495804154723,500
2000,low,0.9,0.802952884356935,-0.1970471156430649,0.2065721000901854,0.088,5.60754242433113,5.607118753775318,5.99046165050532,0.0577641510194349,500
2000,moderate,0.9,0.9301382596709846,-0.0698617403290153,0.0799482030951987,0.562,2.646322087975914,2.6409851511356432,2.7551788175327845,0.0390847288842638,500
