alpha,n,n_treated,estimate,se,ci_lower,ci_upper,kappa_star,regime,n_eff
0.0,2675,185,-803.0563668653434,969.0716511374053,-2702.436803094658,1096.324069363971,2.5679666596596866,well-conditioned,1041.6801907990885
0.01,2675,185,-803.0563668653436,969.0716511374054,-2702.4368030946584,1096.324069363971,2.5679666596596857,well-conditioned,1041.6801907990887
0.05,351,176,-1127.8728718118225,1373.7563639196908,-3820.4353450944163,1564.6896014707715,1.5554747234888178,well-conditioned,225.6545829383407
0.1,274,173,7.132942352379033,1440.5743016182553,-2816.3926888194014,2830.6585735241592,1.2884394722333032,well-conditioned,212.66035844513902
0.15,255,172,1152.9510889007124,972.5417025103501,-753.2306480195737,3059.1328258209987,1.252495811911637,well-conditioned,203.59349514375074
0.2,202,135,819.6186038035901,1087.622021754238,-1312.1205588347163,2951.3577664418963,1.113038304877983,well-conditioned,181.48521853625178
0.25,136,86,644.0743916779711,1315.646455839181,-1934.5926617668238,3222.741445122766,1.0272899599632752,well-conditioned,132.3871597118129
0.3,104,60,109.08118605645336,1400.513207226661,-2635.924700107802,2854.087072220709,1.0168094460710222,well-conditioned,102.28071779020019
