learner,target_r2,n,coverage,avg_ci_length,mc_bias,mc_se,avg_kappa_star,median_kappa_star,avg_nuisance_mse_m,avg_nuisance_mse_l,avg_rmse_m,avg_rmse_l,avg_sample_r2,n_reps,bias_to_se_ratio,avg_nuisance_mse,Q
Lasso,0.75,500,0.6,0.8845742442838797,0.3062053814985606,0.21616219186872104,1.2542174955320107,1.2417885412991336,0.07210974700660289,1.5654871365553786,0.26843564905240097,1.2504326077447647,0.7473899518199605,5,1.416553833264812,0.8187984417809908,0.7194454803989112
Lasso,0.75,2000,0.2,0.44822201071839024,0.3192081095598567,0.06188685855437301,1.275885417016906,1.2732811154281394,0.07014756459862723,1.5814345090975437,0.2648468816754591,1.2568675998137337,0.7348810284875762,5,5.157930407461294,0.8257910368480854,0.7346263390164648
Lasso,0.75,5000,0.0,0.2863359074914017,0.3348728500689875,0.06795871334475057,1.293017575763033,1.294038142000485,0.07003905640221506,1.5396519289416637,0.26464707036522583,1.2406094979969604,0.7505323139486962,5,4.927592557119161,0.8048454926719394,0.7414778358198683
Lasso,0.9,500,0.4,1.0507673548100218,0.5861519268349307,0.29256825024319033,1.3383611711012668,1.3349414135602973,0.07192540954916679,1.664872911050074,0.2680640896299828,1.287511471191047,0.9101002433623984,5,2.0034707332313264,0.8683991602996204,0.7842546083381661
Lasso,0.9,2000,0.2,0.5069026859344259,0.38131830832294367,0.13038320182047633,1.3612141631911598,1.3516239782248949,0.07137047587391729,1.4960347871696928,0.2671363300462321,1.2223801337881508,0.902671426172083,5,2.924596903579481,0.7837026315218051,0.7723701957910205
Lasso,0.9,5000,0.0,0.3169513162006702,0.3372496012035957,0.04307651563993694,1.3596568983580481,1.3604849362901883,0.07096870601282965,1.4960761502209532,0.26638026173356316,1.2230297108701724,0.9027043191290499,5,7.829082649640449,0.7835224281168914,0.7765389816531246
Lasso,0.95,500,0.6,1.0375293881875294,0.4410250136524063,0.17593309848364708,1.3530375609215741,1.3653743126801297,0.07044565834706148,1.6116609465708631,0.26529483652264385,1.2682751444345493,0.946094724729077,5,2.5067768228580336,0.8410533024589623,0.7919957796226346
Lasso,0.95,2000,0.0,0.5348453802446207,0.4471621906082981,0.14599134802345615,1.3974288370753807,1.3852634358536933,0.06954723472224994,1.5200424797365515,0.2637160524006691,1.232613040259022,0.9594999833970228,5,3.0629362401424873,0.7947948572294007,0.7897943692829743
Lasso,0.95,5000,0.0,0.33549646815053497,0.537217410685815,0.07566546303071589,1.3897406355896762,1.3869936595294652,0.07087465713062871,1.524506921110734,0.26620718406475763,1.2346984353973545,0.9563001264669755,5,7.099902507273829,0.7976907891206814,0.7951788319369661
Lasso,0.98,500,1.0,1.044289381353257,0.25490992153661374,0.1528972635877441,1.3475631612494052,1.369999250508529,0.07476037540767952,1.5477275992998407,0.27335218031614295,1.2437045979597734,0.9817726946480159,5,1.6671974079531318,0.8112439873537601,0.7988039811057437
Lasso,0.98,2000,0.0,0.5408788761205384,0.5139919477915718,0.07285265861231341,1.3687333202126284,1.3758298772637512,0.07130037097489778,1.6914384887262788,0.2670145631312213,1.3001413727957085,0.9795421147518507,5,7.0552256785409595,0.8813694298505883,0.8106390111628591
Lasso,0.98,5000,0.0,0.3504101334514432,0.44783468096554424,0.04586939988065001,1.4136055555520468,1.410950168232006,0.06959632555520116,1.5362004409004417,0.26379651349275235,1.2392891525319552,0.9813068819787946,5,9.763255724530705,0.8028983832278215,0.8067380211484403
Lasso,0.99,500,0.6,1.0834393996508294,0.5280226529503245,0.4572890704583893,1.406898038225096,1.3971022082707698,0.0718309943043233,1.6889084190157537,0.2679616882903675,1.2972828635411011,0.9807597322918753,5,1.1546802385218422,0.8803697066600386,0.8237242896185772
Lasso,0.99,2000,0.0,0.54332954419848,0.412630886753216,0.106935124158182,1.427976201131134,1.426312085426018,0.07034651158588309,1.4963485992065555,0.2652227288953234,1.221862406853863,0.9894168241523156,5,3.858703022056987,0.7833475553962193,0.8119533597846557
Lasso,0.99,5000,0.0,0.3412895112625554,0.465154021405922,0.059377477322875696,1.4067006001804931,1.4095392114877896,0.0704621042061829,1.4965073925673504,0.26544241023719384,1.2228175075108485,0.9917299567915631,5,7.83384613793145,0.7834847483867666,0.803051027200425
MLP,0.75,500,1.0,0.7490646673625015,-0.05881867617945136,0.15235288696876995,1.4781323017035735,1.4275322328582654,0.05805267288727249,0.6213877874325131,0.24057217929384853,0.7767780823221491,0.7481927432004658,5,0.38606866827215625,0.3397202301598928,0.6171022158134329
MLP,0.75,2000,1.0,0.4023782459773518,-0.021493901400990723,0.11265775413170405,2.324320075882779,2.342091587811021,0.025231307073482506,0.2390700718190854,0.1584662280545895,0.48842056041241333,0.7536307288722055,5,0.19078936524744664,0.13215068944628394,0.6515821874339954
MLP,0.75,5000,0.8,0.27625434215269584,-0.09183119202463652,0.07328217150253563,2.8923737177323128,2.866455056539484,0.013365648704425187,0.15476990252681572,0.11559016027676963,0.3932349974694193,0.7504832384729221,5,1.253117779424141,0.08406777561562045,0.6111272526007734
MLP,0.9,500,0.8,0.9308623754626988,-0.24793724762188551,0.29271241288134753,1.7426600777014987,1.6674393284108513,0.052089162306324356,0.6828350224776105,0.22756629957584668,0.817617174897155,0.9100488946998688,5,0.8470335958126523,0.3674620923919674,0.7192485867668761
MLP,0.9,2000,1.0,0.5956159715924461,-0.009650154999966687,0.09534049174097688,3.7268219277877854,3.82581466448847,0.018165464946412038,0.25015505214759265,0.13472770804008471,0.49940247246690506,0.8919466619083524,5,0.101217801835808,0.13416025854700234,0.9923793814932017
MLP,0.9,5000,0.8,0.44076352953710973,-0.12350116527846566,0.14334978106453516,5.757956040917536,5.822313062308448,0.00805231254329741,0.1589533367929496,0.08971730283519382,0.3985769745295994,0.8998499449880775,5,0.8615371740460923,0.0835028246681235,1.10100619112329
MLP,0.95,500,1.0,1.1916594692437787,0.19438790698044883,0.12061124676428507,2.2808198994601807,2.2141910353578527,0.04429543118366129,0.892307046660944,0.2101768957013579,0.9262883834462892,0.9496150506820241,5,1.6116897237647179,0.46830123892230263,0.9769687752655533
MLP,0.95,2000,1.0,0.7128021936109582,-0.07482375718790113,0.25548188184315695,5.244468199580046,5.139191857671776,0.015269165079585308,0.25214808344892414,0.12333729748898588,0.5020534243188227,0.9503936061019516,5,0.2928730469968756,0.13370862426425473,1.2788423563500801
MLP,0.95,5000,1.0,0.5718491774339822,-0.03515152180501213,0.19604715790964022,9.301081614122257,9.395247552615846,0.006055452667806388,0.15633449975247748,0.0777933738304116,0.3951531397329826,0.9530316671170258,5,0.1793013588149733,0.08119497621014193,1.647260367679841
MLP,0.98,500,1.0,1.073900166865055,0.10926707055073592,0.11045551328885901,2.323594586876632,2.4640911287974334,0.044229812094478536,0.566092694239131,0.21008996789135725,0.7442448959244835,0.9802263177050617,5,0.9892405303933076,0.30516125316680476,0.9743553070539445
MLP,0.98,2000,1.0,0.8535469556938795,-0.07902230628008611,0.18703155830727705,7.253721938977949,7.1913474561186055,0.012157959468181458,0.23076187749022062,0.11016290320782277,0.480241707171285,0.982536673760781,5,0.42250787511623644,0.12145991847920104,1.6540852770026566
MLP,0.98,5000,1.0,0.7585725098812118,-0.041073559306407104,0.12954392977871967,15.950085879032823,16.195173853784336,0.004347089707422491,0.1512093874672207,0.06586190336004602,0.38883241029916826,0.9833550821460207,5,0.3170627861650242,0.0777782385873216,2.5916955431604984
MLP,0.99,500,0.8,1.142005296208822,0.024026634265365665,0.366993032841604,2.3237737422738975,2.3158124079067552,0.04309146160230089,0.5599870515329595,0.20699156419867362,0.7442003066466623,0.9911429443967164,5,0.06546891116523097,0.3015392565676302,0.9089178281199128
