n,target_r2,sample_r2,delta,replication,theta_hat,se,ci_lower,ci_upper,structural_kappa,kappa_star,bias,abs_bias,coverage,rmse_m,rmse_l
2000,0.9,0.8972821065230939,0.1,1,1.0808792482680007,0.04397917799503478,0.9946800593977326,1.167078437138269,9.771889860629614,8.985840676302756,0.08087924826800075,0.08087924826800075,1,0.14111115719959208,0.33003892862068196
2000,0.9,0.9098227195966969,0.1,2,1.0801647911049368,0.04694517527575065,0.9881522475644655,1.172177334645408,9.8220082964153,8.925435175398828,0.0801647911049368,0.0801647911049368,1,0.13935385896457153,0.3263063275856459
2000,0.9,0.9005834655295438,0.1,3,0.9966638212988385,0.04713852468538993,0.9042723129154742,1.0890553296822028,9.662177957459193,8.860219155552937,-0.0033361787011615407,0.0033361787011615407,1,0.14047599923341608,0.3485216246826864
2000,0.9,0.9042491493366472,0.1,4,1.1449213113673318,0.049511415518367144,1.0478789369513322,1.2419636857833314,10.184390431045374,9.30477142347831,0.14492131136733177,0.14492131136733177,0,0.14188609864886179,0.32545070987970903
2000,0.9,0.922749806187333,0.1,5,1.0307100756500838,0.04996725099800432,0.9327742636939953,1.1286458876061722,10.100534261554897,9.057310341708655,0.030710075650083768,0.030710075650083768,1,0.1434842685034871,0.33743818570773093
2000,0.9,0.8950728924802112,0.1,6,1.051840475210816,0.048127737541037705,0.957510109630382,1.1461708407912499,9.963380179121948,9.186344928150847,0.05184047521081592,0.05184047521081592,1,0.14015495891135932,0.3404714350716572
2000,0.9,0.9023864514606993,0.1,7,1.0578962327463786,0.04706613965708692,0.9656465990184881,1.150145866474269,9.818272139236155,8.98512430057073,0.05789623274637856,0.05789623274637856,1,0.13906409316617738,0.3355845873203944
2000,0.9,0.9025214774307936,0.1,8,0.9940617908547924,0.044942752974354544,0.9059739950250575,1.0821495866845272,9.691586391570427,8.868474607795243,-0.005938209145207596,0.005938209145207596,1,0.13939612847967675,0.32310655175762587
2000,0.9,0.8839210218178862,0.1,9,1.000513989901102,0.04577808465034806,0.9107889439864197,1.090239035815784,9.898599544859112,9.227707441258534,0.0005139899011019633,0.0005139899011019633,1,0.14260926820315084,0.3345485246248322
2000,0.9,0.9148815614991054,0.1,10,1.0386813069180325,0.046827881554653956,0.9468986590709108,1.1304639547651543,9.220169458478125,8.338014103028863,0.03868130691803251,0.03868130691803251,1,0.13750768822162412,0.3291521092405328
2000,0.9,0.8958260803327904,0.1,11,1.0439997363321474,0.048265675750661895,0.9493990118608501,1.1386004608034448,10.233799541429452,9.425100246378424,0.04399973633214738,0.04399973633214738,1,0.14058503237075307,0.3296047161420693
2000,0.9,0.8783084165735833,0.1,12,1.0855834148951458,0.046540751209130996,0.9943635425252491,1.1768032872650425,9.898813809752573,9.277405467196612,0.08558341489514576,0.08558341489514576,1,0.1414041285775759,0.34023391634684996
2000,0.9,0.9191145174822076,0.1,13,1.0813802948270308,0.046765330943310264,0.9897202461781427,1.173040343475919,10.306095121952676,9.276972812115993,0.0813802948270308,0.0813802948270308,1,0.14588018664462687,0.34145822194991476
2000,0.9,0.9116049419308041,0.1,14,0.9866645591605946,0.048081755615075,0.8924243181550476,1.0809048001661417,10.329086281352277,9.362960316187825,-0.01333544083940541,0.01333544083940541,1,0.14369040241314357,0.33507857320686074
2000,0.9,0.923553500385805,0.1,15,1.091228012569363,0.046121145492411614,1.0008305674042361,1.1816254577344898,9.414676255293271,8.444002262892942,0.09122801256936297,0.09122801256936297,0,0.13799751915543892,0.32277638573199424
2000,0.9,0.8980736833104938,0.1,16,1.085710471311543,0.048019167342969606,0.9915929033193227,1.1798280393037635,9.600806841165216,8.821648197230362,0.08571047131154308,0.08571047131154308,1,0.14045919413621988,0.34245600613408816
2000,0.9,0.9043386071835589,0.1,17,1.0903862098042532,0.04788519323525273,0.9965312310631578,1.1842411885453485,10.200086396977952,9.31807221694315,0.09038620980425316,0.09038620980425316,1,0.1424264262784305,0.3272680705091012
2000,0.9,0.888816787028142,0.1,18,1.1006758048288636,0.047164565037459256,1.0082332573554436,1.1931183523022837,10.327559886255314,9.587633657965876,0.10067580482886362,0.10067580482886362,0,0.1426343222414715,0.3285392117219959
2000,0.9,0.9180131205795058,0.1,19,0.9892016276838812,0.04710913812950813,0.8968677169500453,1.0815355384177172,9.638180737070583,8.686128097053794,-0.010798372316118798,0.010798372316118798,1,0.14008947621692935,0.3277102637497342
2000,0.9,0.8804148209823183,0.1,20,1.0825105349388717,0.04996913038126006,0.9845710393916021,1.1804500304861414,9.695836582298888,9.064056217007364,0.08251053493887173,0.08251053493887173,1,0.1377027427321187,0.3297550652330162
2000,0.9,0.9150110264529627,0.1,21,1.043704151056889,0.04973298907044253,0.9462274924788217,1.1411808096349563,11.077688048888447,10.006635503670445,0.04370415105688896,0.04370415105688896,1,0.14593596142975485,0.34766867269581136
2000,0.9,0.9154403828513253,0.1,22,1.003170681764709,0.04550321570811387,0.9139843789768058,1.0923569845526122,10.004354048648638,9.038039249905491,0.003170681764709027,0.003170681764709027,1,0.14631516777447584,0.3616489639761533
2000,0.9,0.8869332436110501,0.1,23,1.0719479771052853,0.04669767147055124,0.9804205410230049,1.1634754131875658,9.241883373784548,8.580793991343903,0.07194797710528533,0.07194797710528533,1,0.13820258920676898,0.337043989085234
2000,0.9,0.897648090389139,0.1,24,0.9811180341741121,0.04622409159755645,0.8905188146429015,1.0717172537053228,11.089987414088213,10.210515390687123,-0.01888196582588786,0.01888196582588786,1,0.14625095708374794,0.34646170519647623
2000,0.9,0.9111336223572717,0.1,25,1.00289585690386,0.04865531849318655,0.9075314326572144,1.0982602811505056,9.689289134050398,8.79260523148334,0.0028958569038599613,0.0028958569038599613,1,0.13915776062955454,0.33373104814696086
2000,0.9,0.9227595737333644,0.1,26,1.0267170334781912,0.04440413424029109,0.9396849303672207,1.1137491365891616,9.978802525461456,8.948069441886027,0.02671703347819121,0.02671703347819121,1,0.1417810548854814,0.34488613776493027
2000,0.9,0.8931811341974891,0.1,27,1.0063686021814753,0.04620883310721097,0.9157992892913418,1.0969379150716088,10.306909412700202,9.523444220037014,0.00636860218147528,0.00636860218147528,1,0.14563280949797286,0.33485440468162764
