dgp_type,n,target_overlap,sample_r2,learner,replication,theta_hat,se,ci_lower,ci_upper,ci_length,kappa_star,bias,coverage,rmse_m,rmse_l,mean_propensity,treatment_frac
binary,1000,0.99,0.14522227367343593,Oracle,0,0.9774543584058895,0.07507546402381651,0.8303064489192091,1.1246022678925698,0.29429581897336066,1.2120788573291543,-0.022545641594110544,1,0.0,0.0,0.6581836299802375,0.643
binary,1000,0.99,0.1499619280252134,Oracle,1,1.0199174192587293,0.0697679008382034,0.8831723336158506,1.156662504901608,0.27349017128575737,1.15958086016744,0.019917419258729252,1,0.0,0.0,0.6486676308429792,0.63
binary,1000,0.99,0.1540187558476374,Oracle,2,0.845381909732834,0.06866288758484389,0.71080265006654,0.979961169399128,0.26915851933258805,1.2013482828479813,-0.154618090267166,0,0.0,0.0,0.6558539773602303,0.652
binary,1000,0.99,0.14766444773598145,Oracle,3,0.9796850206335607,0.07057756095897691,0.8413530011539659,1.1180170401131555,0.27666403895918956,1.187750196519076,-0.020314979366439334,1,0.0,0.0,0.6541370933636955,0.662
binary,1000,0.99,0.1538577908429888,Oracle,4,1.0754004669536443,0.07450912006411067,0.9293625916279874,1.2214383422793014,0.29207575065131397,1.191179348855714,0.07540046695364433,1,0.0,0.0,0.6656536450421495,0.688
binary,1000,0.99,0.14993585246138524,OLS,0,1.1622018096811195,0.10201446972407002,0.9622534490219423,1.3621501703402967,0.3998967213183544,1.0329301837081655,0.16220180968111952,1,0.1670891749123786,1.2285178650098105,0.6655661311557313,0.662
binary,1000,0.99,0.1482674205642674,OLS,1,1.0101304071810047,0.10092963559772825,0.8123083214094573,1.207952492952552,0.3956441715430947,1.0365985731727714,0.010130407181004664,1,0.16038398811947988,1.2592234525979875,0.6665302139847483,0.652
binary,1000,0.99,0.1582257150551697,OLS,2,1.0210059694220974,0.0994740977777,0.8260367377778054,1.2159752010663893,0.38993846328858395,1.0318814511674064,0.021005969422097426,1,0.16486283969413407,1.1512112665960068,0.6516623495550103,0.674
binary,1000,0.99,0.14082737127614053,OLS,3,1.318920624288488,0.09724378701077428,1.1283228017473705,1.5095184468296057,0.38119564508223513,0.9922183538832092,0.3189206242884881,0,0.163434499591428,1.2112055245750242,0.6573168217223972,0.646
binary,1000,0.99,0.14818298351785605,OLS,4,1.1513968522257663,0.0929885131868692,0.9691393663795027,1.3336543380720298,0.3645149716925271,1.0447184112538022,0.15139685222576627,1,0.16503141381933667,1.2117968366638032,0.6517147433483523,0.649
